ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,key,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin,lumieres_id,lumieres_title,lumieres_matching_title,lumieres_directors,lumieres_prod_year,lumieres_relevance,lumieres_admissions,imdb_id,imdb_ratings,imdb_nbvotes
519,07-001-F,2007,Kraj Igre,,Game Over,2007-02-27,Fiction,,Inelegible,Withdrawal Secretariat,0,0,1680176.0,,['Petar Pasic'],519,"[1344176.0, 336000.0]","[16142, 16273]","['RS ', 'SI ']","['Serbia', 'Slovenia']","[0.80002, 0.19998]","[1, 2]","['Majority', 'Minority']",72329,Game Over,Game Over,Alba Sotorra,2015,1.0,151,tt3113384,6.5,40
520,07-002-F,2007,Zena bez tijela,Nije Krai,"Will not stop there a.k.a. ""The Woman without a body""",2007-02-27,Fiction,,Supported,Eligible,0,0,1479612.0,,['Vinko Bresan'],520,"[1183394.0, 296218.0]","[16547, 16548]","['HR ', 'RS ']","['Croatia', 'Serbia']","[0.7998, 0.2002]","[1, 4]","['Majority', 'Minority']",31542,Nije kraj,Nije kraj,Vinko Bresan,2008,0.95,6374,tt0991351,7.1,1018
521,07-003-F,2007,Suç,,Profane Melody,2007-02-27,Fiction,,Rejected,Eligible,0,0,1280000.0,,['Ali Ozgenturk'],521,"[1024000.0, 256000.0]","[31, 14613]","['TR ', 'HU ']","['Türkiye', 'Hungary']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']",33307,Yengeç oyunu,Yengeç oyunu,Ali Özgentürk,2009,1.0,11286,tt1399231,4.3,90
522,07-004-F,2007,33 sceny z zycia,,33 Scenes from Live,2007-02-27,Fiction,,Rejected,Eligible,0,0,1174103.0,,['Malgorzata Szumozska'],522,"[605403.0, 568700.0]","[319, 13750]","['PL ', 'DE ']","['Poland', 'Germany']","[0.51563, 0.48437]","[1, 2]","['Majority', 'Minority']",31014,33 sceny z zycia,33 sceny z zycia,Malgorzata Szumowska,2008,1.0,207005,tt1263736,6.2,1038
523,07-005-F,2007,The Time that remains,le temps qu'il reste,,2007-02-27,Fiction,,Supported,Eligible,0,0,4392010.0,,['Elia Suleiman'],523,"[958810.0, 479405.0, 3074400.0, 3754538.0]","[25, 43, 280, 18487]","['BE ', 'IT ', 'FR ', 'FR ']","['Belgium', 'Italy', 'France', 'France']","[0.21831, 0.10915, 0.7, 0.85486]","[3, 5, 2, 1]","['Minority', 'Minority', 'Minority', 'Majority']",31732,The Time That Remains,The Time That Remains,Elia Suleiman,2009,1.0,238935,tt1037163,7.0,2763
524,07-006-F,2007,Ping pong kingen,,King of Ping-Pong,2007-02-27,Fiction,,Supported,Eligible,1,0,2143675.0,,['Jens Jonsson'],524,"[478799.0, 1664876.0]","[12665, 16553]","['DK ', 'SE ']","['Denmark', 'Sweden']","[0.22335, 0.77665]","[2, 1]","['Minority', 'Majority']",31453,Ping-pongkingen,The King of Ping Pong,Jens Jonsson,2008,0.95,24885,tt1110272,6.3,1241
525,07-007-F,2007,Het Lenteritueel,Le Rituel du Printemps,The Spring Ritual,2007-02-27,Fiction,,Rejected,Eligible,0,0,2532373.0,,['Patrice Toye'],525,"[1840708.0, 392015.0, 299650.0]","[12525, 14843, 16555]","['BE ', 'NL ', 'NO ']","['Belgium', 'Netherlands', 'Norway']","[0.72687, 0.1548, 0.11833]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",29799,Nowhere Man,The Spring Ritual,Patrice Toye,2008,1.0,3101,tt1010412,5.8,168
526,07-008-F,2007,Las Mujeres del anarquista,Les femmes de l'anarchiste,The Anarchist Wives,2007-02-27,Fiction,,Rejected,Eligible,0,0,5007722.0,,"['Marie Noëlle', 'Peter Sehr']",526,"[2841222.0, 1151500.0, 1015000.0]","[16556, 16557, 16558]","['DE ', 'FR ', 'ES ']","['Germany', 'France', 'Spain']","[0.56737, 0.22994, 0.20269]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",31580,The Anarchist's Wife,The Anarchist's Wife,"Marie Noelle, Peter Sehr",2008,0.95,68188,tt0962709,6.1,594
527,07-009-F,2007,The Vintner's Luck,La Veine du Vigneron,,2007-02-27,Fiction,,Inelegible,Not enrolled,0,0,7135000.0,,['Nikki Caro'],527,"[2240000.0, 2795000.0, 2100000.0]","[16383, 16561, 16562]","['FR ', 'BE ', 'NZ ']","['France', 'Belgium', 'New Zealand']","[0.31395, 0.39173, 0.29432]","[2, 1, 3]","['Minority', 'Majority', 'Minority']",37650,The Vintner's Luck,La veine du vigneron,Niki Caro,2009,1.0,204,tt0954544,5.6,985
528,07-010-F,2007,Jasper Journey to the End of the World,Jasper voyage à l'autre bout de la terre,,2007-02-27,Fiction,,Inelegible,Withdrawal Secretariat,1,0,8090000.0,,['Eckart Fingberg'],528,"[1621500.0, 2409200.0, 4059300.0]","[80, 16564, 16565]","['RO ', 'FR ', 'DE ']","['Romania', 'France', 'Germany']","[0.20043, 0.2978, 0.50177]","[3, 2, 1]","['Minority', 'Minority', 'Majority']",31752,Jasper: Journey to the End of the World,"Jasper, voyage à l'autre bout de la terre","Eckart Fingberg, Kay Delventhal",2008,0.95,164029,tt1110630,6.7,89
529,07-011-F,2007,Il Console Italiano,,The Italian Consul,2007-02-27,Fiction,,Inelegible,Withdrawal Producer,0,0,1308413.0,,['Antonio Falduto'],529,"[915889.0, 130841.0, 261683.0]","[16567, 16568, 16569]","['IT ', 'CH ', 'ZA ']","['Italy', 'Switzerland', 'South Africa']","[0.7, 0.1, 0.2]","[1, 3, 2]","['Majority', 'Minority', 'Minority']",41030,Il console italiano,El cónsul italiano,Antonio Falduto,2011,0.95,20,tt1630636,5.4,69
530,07-012-F,2007,Boisko bezdomnych,,The Offsiders,2007-02-27,Fiction,,Inelegible,Withdrawal Producer,0,0,1585460.0,,['Kasia Adamik'],530,"[317101.0, 1268359.0]","[14473, 16571]","['AT ', 'PL ']","['Austria', 'Poland']","[0.20001, 0.79999]","[2, 1]","['Minority', 'Majority']",31022,Boisko bezdomnych,Boisko bezdomnych,Kasia Adamik,2008,1.0,36078,tt1283473,6.9,761
531,07-013-F,2007,Sangue pazzo,Une histoire italienne,Wild Blood,2007-02-27,Fiction,,Supported,Eligible,0,0,10004698.0,,['Marco Tullio Giordana'],531,"[2000940.0, 8003758.0]","[9840, 16572]","['FR ', 'IT ']","['France', 'Italy']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']",30235,Sanguepazzo,Wild Blood,Marco Tullio Giordana,2008,1.0,156492,tt1073624,6.2,1027
532,07-014-F,2007,Skrapp ut,,Back soon,2007-02-27,Fiction,,Supported,Eligible,0,0,1670765.0,,['Solveig Anspach'],532,"[1310730.0, 360035.0]","[375, 16286]","['IS ', 'FR ']","['Iceland', 'France']","[0.78451, 0.21549]","[1, 2]","['Majority', 'Minority']",30233,Skrapp út,Back Soon,Sólveig Anspach,2008,1.0,54241,tt1064928,6.2,296
533,07-015-F,2007,Ve göz,,The Eyes,2007-02-27,Fiction,,Inelegible,Not enrolled,0,0,1731820.0,,['Nihat Seven'],533,"[1031866.0, 353442.0, 346512.0]","[16574, 16575, 16576]","['TR ', 'HU ', 'UK ']","['Türkiye', 'Hungary', 'United Kingdom']","[0.59583, 0.20409, 0.20009]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",47337,Little Happiness,Little Happiness,Nihat Seven,2014,1.0,611,tt2717162,5.7,51
534,07-016-F,2007,Insomnie,,,2007-02-27,Fiction,,Inelegible,Withdrawal Producer,0,0,3147888.0,,['Pascal Kané'],534,"[326486.0, 2012632.0, 404385.0, 404385.0]","[334, 16663, 16664, 16665]","['BE ', 'FR ', 'RO ', 'DE ']","['Belgium', 'France', 'Romania', 'Germany']","[0.10372, 0.63936, 0.12846, 0.12846]","[3, 1, 2, 2]","['Minority', 'Majority', 'Minority', 'Minority']",35559,Je ne vous oublierai jamais,Je ne vous oublierai jamais,Pascal Kané,2010,1.0,1327,tt1064960,6.1,16
535,07-017-F,2007,Käsky,,She-Wolf,2007-02-27,Fiction,,Inelegible,Not enrolled,0,0,1700000.0,,['Aku Louhimies'],535,"[1350000.0, 180000.0, 170000.0]","[16667, 16668, 16669]","['FI ', 'DE ', 'GR ']","['Finland', 'Germany', 'Greece']","[0.79412, 0.10588, 0.1]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",31495,Käsky,Käsky,Aku Louhimies,2008,1.0,37145,tt0920461,6.4,1495
536,07-018-F,2007,Rayney el asesino,,Rayney the Assassin,2007-02-27,Fiction,,Inelegible,Not enrolled,1,0,3000000.0,,['Miguel Sapochnik'],536,"[600000.0, 1200000.0, 600000.0, 600000.0]","[16275, 16671, 16672, 16674]","['MX ', 'ES ', 'NL ', 'UK ']","['Mexico', 'Spain', 'Netherlands', 'United Kingdom']","[0.2, 0.4, 0.2, 0.2]","[3, 1, 3, 2]","['Minority', 'Majority', 'Minority', 'Minority']",35030,Repo Men,Repo Men,Miguel Sapochnik,2010,1.0,157245,tt1053424,6.3,110984
537,07-019-F,2007,Skytsenglen,,Guarding Angel,2007-02-27,Fiction,,Inelegible,Withdrawal Producer,0,0,2615413.0,,['Rumle Hammerich'],537,"[1941243.0, 367312.0, 306858.0]","[9779, 9789, 16676]","['DK ', 'SE ', 'NO ']","['Denmark', 'Sweden', 'Norway']","[0.74223, 0.14044, 0.11733]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",33819,Headhunter,Headhunter,Rumle Hammerich,2009,1.0,219128,tt1322315,6.6,2379
538,07-021-F,2007,"A Arte de roubar (aka Naturezas mortas, Mexican Dream)",,The Art of Stealing,2007-02-27,Fiction,,Rejected,Eligible,0,0,,,['Leonel Vieira'],538,,,,,,,,31511,Arte de Roubar,The Art of Stealing,Leonel Vieira,2008,1.0,30564,tt0977637,6.2,1106
539,07-022-F,2007,Das Vaterspiel,,Kill Daddy Good Night,2007-02-27,Fiction,,Supported,Eligible,0,0,4517500.0,,['Michael Glawogger'],539,"[1140760.0, 2924709.0, 452031.0]","[199, 16366, 17257]","['AT ', 'DE ', 'FR ']","['Austria', 'Germany', 'France']","[0.25252, 0.64742, 0.10006]","[2, 1, 3]","['Minority', 'Majority', 'Minority']",31661,Das Vaterspiel,Das Vaterspiel,Michael Glawogger,2009,1.0,10793,tt1031290,6.0,286
540,07-020-F,2007,Dorothy Mills,,,2007-02-27,Fiction,,Supported,Eligible,0,0,5002843.0,,['Agnès Merlet'],540,"[2918674.0, 2117332.0]","[116, 14535]","['FR ', 'IE ']","['France', 'Ireland']","[0.5834, 0.42323]","[2, 3]","['Minority', 'Minority']",30170,Dorothy Mills,Dorothy Mills,Agnès Merlet,2007,1.0,217062,tt1034306,6.0,6010
542,07-024-F,2007,Maata meren alla (Ground under Water),Reposer sous la mer,Ground under Water,2007-02-27,Fiction,,Inelegible,Withdrawal Producer,0,0,1466534.0,,['Lenka Hellstedt'],542,"[293000.0, 1173534.0]","[129, 16684]","['DE ', 'FI ']","['Germany', 'Finland']","[0.19979, 0.80021]","[2, 1]","['Minority', 'Majority']",33746,Maata meren alla,Ground Under Water,Lenka Hellstedt,2009,1.0,6717,tt1145449,5.2,193
543,07-025-F,2007,Il y a longtemps que je t'aime,,I've Loved You So Long,2007-02-27,Fiction,,Supported,Eligible,1,0,5771245.0,,['Phillipe Claudel'],543,"[1154249.0, 4616996.0]","[160, 14500]","['DE ', 'FR ']","['Germany', 'France']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']",30064,Il y a longtemps que je t'aime,I've Loved You So Long,Philippe Claudel,2008,1.0,1839474,tt1068649,7.6,20745
544,07-026-F,2007,Clara,,,2007-02-27,Fiction,,Supported,Eligible,0,0,7039286.0,,['Helma Sanders-Brahms'],544,"[3285000.0, 3285000.0, 469286.0]","[160, 204, 11700]","['DE ', 'FR ', 'HU ']","['Germany', 'France', 'Hungary']","[0.46667, 0.46667, 0.06667]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",30542,Geliebte Clara,Geliebte Clara,Helma Sanders-Brahms,2008,0.95,107646,tt0177636,5.5,304
545,07-027-F,2007,Mal nascida,Mal née,,2007-02-27,Fiction,,Rejected,Eligible,0,0,1447856.0,,['Joao Canijo'],545,"[1158285.0, 289571.0]","[16689, 16690]","['PT ', 'FR ']","['Portugal', 'France']","[0.8, 0.2]","[1, 2]","['Majority', 'Minority']",31520,Mal Nascida,Mal Nascida,João Canijo,2007,0.95,1982,tt1010420,6.7,132
546,07-028-F,2007,Marcello Marcello,Marcello Marcello,Marcello's Date,2007-02-27,Fiction,,Rejected,Eligible,0,0,2689621.0,,['Denis Rabaglia'],546,"[1648121.0, 1041500.0]","[12524, 15889]","['CH ', 'DE ']","['Switzerland', 'Germany']","[0.61277, 0.38723]","[1, 2]","['Majority', 'Minority']",31371,Marcello Marcello,Marcello Marcello,Denis Rabaglia,2008,1.0,86001,tt1069235,6.7,412
547,07-029-F,2007,Pandora's Box,La boîte de Pandore,Pandoranin Kutusu,2007-02-27,Fiction,,Supported,Eligible,0,0,1164460.0,,['Yesim Ustaoglu'],547,"[366213.0, 0.0, 398956.0, 302168.0, 163544.0]","[308, 16186, 16702, 16705, 18678]","['FR ', 'DE ', 'TR ', 'FR ', 'BE ']","['France', 'Germany', 'Türkiye', 'France', 'Belgium']","[0.31449, 0.0, 0.34261, 0.25949, 0.14045]","[3, 6, 2, 4, 5]","['Minority', 'Minority', 'Minority', 'Minority', 'Minority']",31757,Pandora'nin kutusu,Pandora's Box,Yesim Ustaoglu,2008,1.0,96462,tt1285130,7.1,2987
548,07-030-F,2007,La Possibilité d'une île,,The Possibility of an Island,2007-02-27,Fiction,,Rejected,Eligible,1,0,6370000.0,,['Michel Houellebecq'],548,"[2100000.0, 3633000.0, 637000.0]","[233, 15231, 16713]","['ES ', 'FR ', 'BE ']","['Spain', 'France', 'Belgium']","[0.32967, 0.57033, 0.1]","[2, 1, 3]","['Minority', 'Majority', 'Minority']",30291,La possibilité d'une île,La possibilité d'une île,Michel Houellebecq,2008,1.0,70134,tt0926764,3.6,339
549,07-031-F,2007,Karadeniz'e Balad,,A Ballad for the Black Sea,2007-02-27,Fiction,,Rejected,Eligible,0,0,1214230.0,,['Yusuf  Kurçenli'],549,"[242846.0, 971384.0]","[14478, 15258]","['GR ', 'TR ']","['Greece', 'Türkiye']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']",35610,Yüregine sor,Yüregine sor,Yusuf Kurçenli,2010,1.0,145865,tt1592303,7.6,4449
550,07-032-F,2007,La Véritable histoire du Chat Botté,,The true Story of Puss'n Boots,2007-05-01,Animation,,Supported,Eligible,1,0,10070000.0,,"['Pascal Hérold ', 'Jérôme Deschamps']",550,"[1007000.0, 7049000.0, 2014000.0]","[14251, 16850, 16851]","['CH ', 'FR ', 'BE ']","['Switzerland', 'France', 'Belgium']","[0.1, 0.7, 0.2]","[3, 1, 2]","['Minority', 'Majority', 'Minority']",31657,La véritable histoire du Chat Botté,The True Story of Puss 'N Boots,"Jérôme Deschamps, Pascal Hérold, Macha Makeïeff",2008,0.95,766820,tt1239462,3.1,1168
551,07-033-F,2007,Parlami d'amore,,Talk to Me About Love,2007-05-01,Fiction,,Rejected,Eligible,1,0,5500000.0,,['Silvio Muccino'],551,"[4950000.0, 550000.0]","[53, 15232]","['IT ', 'ES ']","['Italy', 'Spain']","[0.9, 0.1]","[1, 2]","['Majority', 'Minority']",31799,Parlami d'amore,Parlami d'amore,Silvio Muccino,2008,1.0,1274081,tt1038142,4.9,712
552,07-034-F,2007,Karamazovi,,The Karamazov Brothers,2007-05-01,Fiction,,Supported,Eligible,0,0,1134305.0,,['Petr  Zelenka'],552,"[420996.0, 713309.0]","[16863, 16864]","['PL ', 'CZ ']","['Poland', 'Czech Republic']","[0.37115, 0.62885]","[2, 1]","['Minority', 'Majority']",30782,Karamazovi,The Karamazov Brothers,Petr Zelenka,2008,1.0,129603,tt1080716,7.5,1253
553,07-035-F,2007,Feuerherz,,Heart of Fire,2007-05-01,Fiction,,Supported,Eligible,0,0,5044000.0,,['Luigi Falorni'],553,"[504400.0, 4539600.0]","[12518, 16874]","['AT ', 'DE ']","['Austria', 'Germany']","[0.1, 0.9]","[2, 1]","['Minority', 'Majority']",32466,Feuerherz,Heart of Fire,Luigi Falorni,2008,1.0,2900,tt1169272,6.0,228
554,07-036-F,2007,Lost Persons Area,,,2007-05-01,Fiction,,Supported,Eligible,1,0,1835970.0,,['Caroline Strubbe'],554,"[208049.0, 1269250.0, 383400.0]","[14613, 16881, 16882]","['HU ', 'BE ', 'NL ']","['Hungary', 'Belgium', 'Netherlands']","[0.11332, 0.69132, 0.20883]","[5, 1, 3]","['Minority', 'Majority', 'Minority']",33367,Lost Persons Area,Lost Persons Area,Caroline Strubbe,2009,1.0,9155,tt1405808,5.5,198
555,07-037-F,2007,Between two Fires,,,2007-05-01,Fiction,,Rejected,Eligible,1,0,2331863.0,,['Agnieszka  Lukasiak'],555,"[508680.0, 1823183.0]","[11942, 16885]","['PL ', 'SE ']","['Poland', 'Sweden']","[0.21814, 0.78186]","[2, 1]","['Minority', 'Majority']",38210,Between Two Fires,Between Two Fires,Agnieszka Lukasiak,2010,1.0,505,tt1447493,6.7,270
556,07-038-F,2007,Mr. Nobody,,,2007-05-01,Fiction,,Supported,Eligible,0,0,35325555.0,,['Jaco Van Dormael'],556,"[7712280.0, 6828156.0, 13949824.0, 11883199.0]","[160, 16886, 16887, 16888]","['DE ', 'BE ', 'DE ', 'FR ']","['Germany', 'Belgium', 'Germany', 'France']","[0.21832, 0.19329, 0.39489, 0.33639]","[5, 6, 1, 2]","['Minority', 'Minority', 'Majority', 'Minority']",31624,Mr. Nobody,Mr. Nobody,Jaco van Dormael,2009,1.0,442001,tt0485947,7.7,246673
557,07-039-F,2007,Europolis,,,2007-05-01,Fiction,,Inelegible,Withdrawal Producer,1,0,1153850.0,,['Corneliu Gheorghita'],557,"[807850.0, 346000.0]","[16890, 16891]","['RO ', 'FR ']","['Romania', 'France']","[0.70013, 0.29987]","[1, 2]","['Majority', 'Minority']",32159,Europolis,Europolis,Cornel Gheorghita,2009,1.0,4774,tt1439226,6.0,136
558,07-040-F,2007,California Wash,Eldorado,Eldorado,2007-05-01,Fiction,,Supported,Eligible,0,0,2288983.0,,['Bouli Lanners'],558,"[1602288.0, 686695.0]","[353, 14364]","['BE ', 'FR ']","['Belgium', 'France']","[0.7, 0.3]","[1, 2]","['Majority', 'Minority']",30163,Eldorado,California Wash,Bouli Lanners,2008,1.0,259917,tt1176954,6.6,2213
559,07-041-F,2007,La Régate,,,2007-05-01,Fiction,,Inelegible,Withdrawal Producer,1,0,2153686.0,,['Bernard Bellefroid'],559,"[633254.0, 1520432.0]","[23, 190]","['FR ', 'BE ']","['France', 'Belgium']","[0.29403, 0.70597]","[2, 1]","['Minority', 'Majority']",31761,La régate,La régate,Bernard Bellefroid,2009,1.0,35722,tt1406175,6.8,194
560,07-042-F,2007,J.A.C.E. - Just another confused Elephant,,,2007-05-01,Fiction,,Inelegible,Withdrawal Producer,0,0,,,['Menelaos Karamaghiolis'],560,,,,,,,,41073,J.A.C.E.,Just Another Confused Elephant,Menelaos Karamaghiolis,2011,0.95,7017,tt2075223,6.6,448
561,07-043-F,2007,"Robbi, Tobbi und das Fliewatüüt",,,2007-05-01,Animation,,Inelegible,Withdrawal Producer,0,0,7796386.0,,['Wolfgang Murnberger'],561,"[1570000.0, 6226386.0]","[299, 9798]","['AT ', 'DE ']","['Austria', 'Germany']","[0.20138, 0.79862]","[2, 1]","['Minority', 'Majority']",62055,Das ewige Leben,Das ewige Leben,Wolfgang Murnberger,2015,1.0,463724,tt3642618,7.2,2543
562,07-044-F,2007,Vapeur,,,2007-05-01,Fiction,,Inelegible,Withdrawal Producer,0,0,3761554.0,,['Yves Hanchar'],562,"[1851702.0, 1909852.0]","[204, 334]","['FR ', 'BE ']","['France', 'Belgium']","[0.49227, 0.50773]","[2, 1]","['Minority', 'Majority']",31767,Sans rancune,Vapeur,Yves Hanchar,2009,1.0,38536,tt1337205,6.6,212
563,07-045-F,2007,Pope Joan,,,2007-05-01,Fiction,,Inelegible,Not enrolled,0,0,20000067.0,,['Volker Schlöndorff'],563,"[5000014.0, 10000035.0, 5000018.0]","[221, 12427, 16898]","['IT ', 'DE ', 'BG ']","['Italy', 'Germany', 'Bulgaria']","[0.25, 0.5, 0.25]","[3, 1, 2]","['Minority', 'Majority', 'Minority']",317175,The Forest Maker,The Forest Maker,Volker Schlöndorff,2022,1.0,43330,tt18939192,6.9,84
564,07-046-F,2007,Tiere,,,2007-05-01,Fiction,,Inelegible,Withdrawal Producer,0,0,,,['Jorg Kalt'],564,,,,,,,,75146,Tiere,Tiere,Greg Zglinski,2017,1.0,8408,tt6510634,6.6,725
565,07-047-F,2007,"En, Te, Ök",Liaisons Ordinaires,Ordinary Affairs,2007-05-01,Fiction,,Inelegible,Withdrawal Producer,0,0,2480577.0,,['Jozsef Pacskovszky'],565,"[1284827.0, 642125.0, 553625.0]","[14458, 16902, 16903]","['HU ', 'DE ', 'FR ']","['Hungary', 'Germany', 'France']","[0.51795, 0.25886, 0.22318]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",74990,A tökéletes gyilkos,A tökéletes gyilkos,József Pacskovszky,2017,1.0,3965,tt6614914,5.1,246
566,07-048-C,2007,Pianomania,,,2007-05-01,Documentary,,Supported,Eligible,0,0,400000.0,,"['Robert Cibis ', 'Lilian Franck']",566,"[206550.0, 178450.0]","[16906, 16907]","['DE ', 'AT ']","['Germany', 'Austria']","[0.51638, 0.44613]","[2, 3]","['Minority', 'Minority']",33698,Pianomania,Pianomania,"Robert Cibis, Lilian Franck",2009,1.0,97199,tt1331115,7.4,440
567,07-049-F,2007,La Frontière de l'aube,,Frontier of the Dawn,2007-05-01,Fiction,,Supported,Eligible,0,0,2375073.0,,['Philippe Garrel'],567,"[1873817.0, 501256.0]","[15290, 16172]","['FR ', 'IT ']","['France', 'Italy']","[0.78895, 0.21105]","[1, 2]","['Majority', 'Minority']",30265,La frontière de l'aube,La frontière de l'aube,Philippe Garrel,2008,1.0,30117,tt1073535,6.4,1295
568,07-050-F,2007,Il Divo (ex: La Prima lettera dell'alfabeto),Il Divo (ex: La première lettre de l'alphabet),Il Divo (ex: The first letter of the alphabet),2007-05-01,Fiction,,Supported,Eligible,0,0,4485299.0,,['Paolo Sorrentino'],568,"[897060.0, 3588239.0]","[36, 16909]","['FR ', 'IT ']","['France', 'Italy']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']",81632,Loro 1,Loro 1,Paolo Sorrentino,2018,1.0,631133,tt6748466,6.7,5316
569,07-051-F,2007,El Juego del ahorcado,Le jeu du pendu,The hanged Man,2007-05-01,Fiction,,Inelegible,Not enrolled,0,0,4156668.0,,['Manuel Gomez Pereira'],569,"[3307059.0, 849609.0]","[16910, 16912]","['ES ', 'IE ']","['Spain', 'Ireland']","[0.7956, 0.2044]","[1, 2]","['Majority', 'Minority']",31575,El juego del ahorcado,El juego del ahorcado,Manuel Gómez Pereira,2008,1.0,69090,tt0765461,5.9,762
570,07-052-C,2007,Fritsud ja blondiinid,,Nazis and Blondes,2007-05-01,Documentary,,Supported,Eligible,1,0,163400.0,,['Arbo  Tammiksaar'],570,"[115381.0, 48019.0]","[16914, 16915]","['EE ', 'LV ']","['Estonia', 'Latvia']","[0.70613, 0.29387]","[1, 2]","['Majority', 'Minority']",31070,Fritsud ja blondiinid,Nazis and Blondes,Arbo Tammiksaar,2008,1.0,539,tt1233199,6.2,53
571,07-053-F,2007,Riket vid vägens slut,,The Kingdom at Roads' End,2007-05-01,Fiction,,Inelegible,Not enrolled,0,0,11200216.0,,['Peter Flinth'],571,"[1146000.0, 7757603.0, 2296613.0]","[12768, 16916, 16917]","['DE ', 'SE ', 'UK ']","['Germany', 'Sweden', 'United Kingdom']","[0.10232, 0.69263, 0.20505]","[3, 1, 2]","['Minority', 'Majority', 'Minority']",31100,Arn - Riket vid vägens slut,Arn: The Kingdom at Road's End,Peter Flinth,2008,0.95,657026,tt0950739,6.6,8588
572,07-054-F,2007,Venkovsky Ucitel,,Country Teacher,2007-05-01,Fiction,,Supported,Eligible,1,0,2270751.0,,['Bohdan Slama'],572,"[978980.0, 1058022.0, 233749.0]","[245, 266, 14826]","['CZ ', 'DE ', 'FR ']","['Czech Republic', 'Germany', 'France']","[0.43113, 0.46593, 0.10294]","[3, 2, 5]","['Minority', 'Minority', 'Minority']",30773,Venkovský učitel,The Country Teacher,Bohdan Slama,2008,0.95,256679,tt1284526,6.9,1520
573,07-055-F,2007,Gyöngéd kezelés,Bibliothèque Pascal,Pascal's Library,2007-05-01,Fiction,,Supported,Eligible,0,0,2932704.0,,['Hajdu Szalbocs'],573,"[296327.0, 1908097.0, 1316306.0, 728280.0, 350122.0]","[12467, 16919, 16920, 16921, 19222]","['UK ', 'HU ', 'HU ', 'DE ', 'DE ']","['United Kingdom', 'Hungary', 'Hungary', 'Germany', 'Germany']","[0.10104, 0.65063, 0.44884, 0.24833, 0.11939]","[5, 1, 2, 3, 4]","['Minority', 'Majority', 'Minority', 'Minority', 'Minority']",35865,Bibliothèque Pascal,Bibliothèque Pascal,Szabolcs Hajdu,2010,1.0,27158,tt0997035,7.0,1993
574,07-056-F,2007,Kraj Igre,,Game Over,2007-05-01,Fiction,,Rejected,Eligible,0,0,1680176.0,,['Petar Pasic'],574,"[1344176.0, 336000.0]","[16142, 16273]","['RS ', 'SI ']","['Serbia', 'Slovenia']","[0.80002, 0.19998]","[1, 2]","['Majority', 'Minority']",72329,Game Over,Game Over,Alba Sotorra,2015,1.0,151,tt3113384,6.5,40
575,07-057-F,2007,Ve göz,,The Eyes,2007-05-01,Fiction,,Inelegible,Withdrawal Secretariat,0,0,1732563.0,,['Nihat Seven'],575,"[1033707.0, 351366.0, 347490.0]","[16574, 16575, 16576]","['TR ', 'HU ', 'UK ']","['Türkiye', 'Hungary', 'United Kingdom']","[0.59663, 0.2028, 0.20056]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",47337,Little Happiness,Little Happiness,Nihat Seven,2014,1.0,611,tt2717162,5.7,51
576,07-058-F,2007,Käsky,Obéir,Tears of April,2007-05-01,Fiction,,Supported,Eligible,0,0,1843404.0,,['Aku Louhimies'],576,"[1274723.0, 200000.0, 368681.0]","[16667, 16668, 16669]","['FI ', 'DE ', 'GR ']","['Finland', 'Germany', 'Greece']","[0.6915, 0.10849, 0.2]","[1, 3, 2]","['Majority', 'Minority', 'Minority']",31495,Käsky,Tears of April,Aku Louhimies,2008,1.0,37145,tt0920461,6.4,1495
577,07-059-F,2007,Insomnie,,,2007-05-01,Fiction,,Rejected,Eligible,0,0,2218914.0,,['Pascal Kané'],577,"[323770.0, 226600.0, 1446044.0, 222500.0]","[334, 14449, 16663, 16932]","['BE ', 'DE ', 'FR ', 'RO ']","['Belgium', 'Germany', 'France', 'Romania']","[0.14591, 0.10212, 0.65169, 0.10027]","[2, 3, 1, 4]","['Minority', 'Minority', 'Majority', 'Minority']",35559,Je ne vous oublierai jamais,Je ne vous oublierai jamais,Pascal Kané,2010,1.0,1327,tt1064960,6.1,16
578,07-060-F,2007,Vilenjakova Prica,,,,Fiction,,Inelegible,Ineligible,0,0,1327000.0,,['Stevan Djordjevic'],578,"[225000.0, 1102000.0]","[14833, 16965]","['SI ', 'RS ']","['Slovenia', 'Serbia']","[0.16956, 0.83044]","[2, 1]","['Minority', 'Majority']",35840,Technotise - Edit i ja,Technotise - Edit i ja,"Aleksa Gajic, Nebojsa Andric, Stevan Djordjevic",2009,1.0,664,tt1372301,7.3,3382
